Index,Alpha,Gamma,Reward Coef,Accuracy
1,0.9,0.9,0.0,0.8
2,0.9,0.9,1.0,0.8
3,0.9,0.9,2.0,1.0
4,0.9,0.9,3.0,1.0
5,0.9,0.9,4.0,1.0
6,0.9,0.9,5.0,1.0
7,0.9,0.9,6.0,1.0
8,0.9,0.9,7.0,1.0
9,0.9,0.9,8.0,1.0
10,0.9,0.9,9.0,1.0
11,0.9,0.9,10.0,1.0
12,0.9,0.9,11.0,1.0
13,0.9,0.9,12.0,1.0
14,0.9,0.9,13.0,1.0
15,0.9,0.9,14.0,1.0
16,0.9,0.9,15.0,1.0
17,0.9,0.9,16.0,1.0
18,0.9,0.9,17.0,1.0
19,0.9,0.9,18.0,1.0
20,0.9,0.9,19.0,1.0
21,0.9,0.9,20.0,1.0
22,0.9,0.9,21.0,1.0
23,0.9,0.9,22.0,1.0
24,0.9,0.9,23.0,1.0
25,0.9,0.9,24.0,1.0
26,0.9,0.9,25.0,1.0
27,0.9,0.9,26.0,1.0
28,0.9,0.9,27.0,1.0
29,0.9,0.9,28.0,1.0
30,0.9,0.9,29.0,1.0
31,0.9,0.9,30.0,0.8
32,0.9,0.9,31.0,0.8
33,0.9,0.9,32.0,0.8
34,0.9,0.9,33.0,0.8
35,0.9,0.9,34.0,0.8
36,0.9,0.9,35.0,0.8
37,0.9,0.9,36.0,0.8
38,0.9,0.9,37.0,0.8
39,0.9,0.9,38.0,0.8
40,0.9,0.9,39.0,0.8
41,1.0,0.9,0.0,0.8
42,1.0,0.9,1.0,1.0
43,1.0,0.9,2.0,1.0
44,1.0,0.9,3.0,1.0
45,1.0,0.9,4.0,1.0
46,1.0,0.9,5.0,1.0
47,1.0,0.9,6.0,1.0
48,1.0,0.9,7.0,1.0
49,1.0,0.9,8.0,1.0
50,1.0,0.9,9.0,1.0
51,1.0,0.9,10.0,1.0
52,1.0,0.9,11.0,1.0
53,1.0,0.9,12.0,1.0
54,1.0,0.9,13.0,1.0
55,1.0,0.9,14.0,1.0
56,1.0,0.9,15.0,1.0
57,1.0,0.9,16.0,1.0
58,1.0,0.9,17.0,1.0
59,1.0,0.9,18.0,1.0
60,1.0,0.9,19.0,1.0
61,1.0,0.9,20.0,1.0
62,1.0,0.9,21.0,1.0
63,1.0,0.9,22.0,1.0
64,1.0,0.9,23.0,1.0
65,1.0,0.9,24.0,1.0
66,1.0,0.9,25.0,1.0
67,1.0,0.9,26.0,1.0
68,1.0,0.9,27.0,1.0
69,1.0,0.9,28.0,1.0
70,1.0,0.9,29.0,0.8
71,1.0,0.9,30.0,0.8
72,1.0,0.9,31.0,0.8
73,1.0,0.9,32.0,0.8
74,1.0,0.9,33.0,0.8
75,1.0,0.9,34.0,0.8
76,1.0,0.9,35.0,0.8
77,1.0,0.9,36.0,0.8
78,1.0,0.9,37.0,0.8
79,1.0,0.9,38.0,0.8
80,1.0,0.9,39.0,0.8
81,0.9,0.9,0.0,0.6
82,0.9,0.9,1.0,0.8
83,0.9,0.9,2.0,1.0
84,0.9,0.9,3.0,1.0
85,0.9,0.9,4.0,0.8
86,0.9,0.9,5.0,1.0
87,0.9,0.9,6.0,1.0
88,0.9,0.9,7.0,0.8
89,0.9,0.9,8.0,1.0
90,0.9,0.9,9.0,1.0
91,0.9,0.9,10.0,1.0
92,0.9,0.9,11.0,1.0
93,0.9,0.9,12.0,1.0
94,0.9,0.9,13.0,1.0
95,0.9,0.9,14.0,1.0
96,0.9,0.9,15.0,1.0
97,0.9,0.9,16.0,1.0
98,0.9,0.9,17.0,1.0
99,0.9,0.9,18.0,1.0
100,0.9,0.9,19.0,1.0
101,0.9,0.9,20.0,1.0
102,0.9,0.9,21.0,1.0
103,0.9,0.9,22.0,1.0
104,0.9,0.9,23.0,1.0
105,0.9,0.9,24.0,1.0
106,0.9,0.9,25.0,1.0
107,0.9,0.9,26.0,1.0
108,0.9,0.9,27.0,1.0
109,0.9,0.9,28.0,1.0
110,0.9,0.9,29.0,0.8
111,0.9,0.9,30.0,0.8
112,0.9,0.9,31.0,0.8
113,0.9,0.9,32.0,0.8
114,0.9,0.9,33.0,0.8
115,0.9,0.9,34.0,0.8
116,0.9,0.9,35.0,0.8
117,0.9,0.9,36.0,0.8
118,0.9,0.9,37.0,0.8
119,0.9,0.9,38.0,0.8
120,0.9,0.9,39.0,0.8
121,1.0,0.9,0.0,0.8
122,1.0,0.9,1.0,1.0
123,1.0,0.9,2.0,1.0
124,1.0,0.9,3.0,1.0
125,1.0,0.9,4.0,1.0
126,1.0,0.9,5.0,1.0
127,1.0,0.9,6.0,1.0
128,1.0,0.9,7.0,1.0
129,1.0,0.9,8.0,1.0
130,1.0,0.9,9.0,1.0
